DRS_ID,DistributionChannel,UserLanguage,geoid.county,Zone,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1a,Q2,Q3_0,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_0,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_0,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_0,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q8_0,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q12_0,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q14,Q15,Q16,Q17_0,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q18,Q19a,Q19b,Q20,Q21,Q22,Q23,Q24_0,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q34,Q39,Q41a,Q41b,Q41c,Q41d,Q41e,Q41f,Q42a,Q42b,Q42c,Q42d,Q42e,Q42f,Q42g,Q42h,Q42i,Q43_0,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_9,Q43_10,Q43_11,WTFINAL,SEX_P,RACE_P,INCOME_P,AGE_P,ETHNICITY_P,EDU_P,HOMEOWNERSHIP_P,LANGUAGE_P
DRS2391,Mail,English,<Erased>,2,<Decline to answer>,No,No,<Decline to answer>,No,<Decline to answer>,18,<I don't know>,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,No,Yes,No,No,Yes,Yes,Yes,No,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,No,Please specify individual or organization name:,Satisfied,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Very concerned,Not at all concerned,Not at all concerned,Not at all concerned,<Unsure>,<Decline to answer>,Somewhat concerned,<Decline to answer>,Mostly due to climate change,<Decline to answer>,No,Yes,<Decline to answer>,No,No,Yes,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Strongly disagree,Somewhat disagree,<I don't know>,<Decline to answer>,<I don't know>,<I don't know>,No,No,Yes,No,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,Liberal,No,Trust somewhat,Trust somewhat,Trust only a little,Strongly distrust,<Not applicable>,Somewhat distrust,Unsure,<Decline to answer>,Somewhat unlikely,Somewhat unlikely,Very unlikely,Very likely,Somewhat unlikely,<Not applicable>,Yes,<Decline to answer>,<Decline to answer>,No,NA,Yes,Yes,<Not applicable>,NA,Yes,NA,<Not applicable>,0.11748825633837726,<Missing>,Other and mixed,<25K,<Missing>,Not Hispanic/Latino,BA/BS,<Decline to answer>,Other lang
DRS2392,Online,Spanish,013,1,No,No,No,No,Yes,<Decline to answer>,24,Urban,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,<I Dont know why the Delta is important>,Yes,No,Yes,No,<I Dont know why the Delta is important>,<Decline to answer>,Yes,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,No,Yes,Yes,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,Yes,<I don't know>,Neutral,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,<Unsure>,Moderately concerned,<Unsure>,<Unsure>,<Decline to answer>,Moderately concerned,Not at all concerned,<Decline to answer>,Not at all due to climate change,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,No,No,<Decline to answer>,Yes,No,No,Yes. Please specify:,Somewhat disagree,<Decline to answer>,<I don't know>,<I don't know>,<Decline to answer>,Doing the right amount,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,No,Yes,Yes,<Decline to answer>,No,<Decline to answer>,No,Trust only a little,Strongly distrust,Strongly distrust,Trust somewhat,Somewhat distrust,<Decline to answer>,NA,Somewhat likely,Very unlikely,Somewhat likely,<Decline to answer>,NA,Unsure,Very likely,<Decline to answer>,<Not applicable>,Yes,No,No,NA,No,<Not applicable>,<Decline to answer>,Yes,NA,NA,2.4175774880223946,Male,Other and mixed,<25K,25-34,<Missing>,>BA/BS,Owned by you or someone else living there,English only
DRS2393,Mail,Spanish,<Erased>,1,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,26,<I don't know>,No,No,Yes,Yes,Yes,No,No,No,No,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,<Decline to answer>,No,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,Yes,No,No,<Decline to answer>,Yes,No,<Decline to answer>,Yes,Please specify individual or organization name:,Satisfied,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Yes,No,<Decline to answer>,<Unsure>,Not at all concerned,<Unsure>,Somewhat concerned,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes. Please specify:,Mostly due to other factors,mostly by natural changes in the environment,No,No,Yes,Yes,Yes,No,<Decline to answer>,Yes,<Decline to answer>,No,Yes. Please specify:,Somewhat agree,Somewhat disagree,"No, I have not personally experienced drought impacts",Not doing enough,Doing the right amount,<I don't know>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,No,<Decline to answer>,No,No,No,Conservative,Yes,Trust only a little,Strongly distrust,Trust somewhat,NA,Trust completely,Trust completely,Somewhat likely,Very unlikely,Very likely,Very unlikely,Somewhat likely,Very likely,Somewhat unlikely,Very unlikely,<Not applicable>,<Decline to answer>,Yes,<Not applicable>,<Not applicable>,NA,No,No,<Not applicable>,<Not applicable>,NA,No,0.32573841641505874,Male,Asian/PI,50K - <75K,<Missing>,Not Hispanic/Latino,>BA/BS,NA,NA
DRS2394,Online,Spanish,<Erased>,2,<Decline to answer>,Yes,No,<Decline to answer>,Yes,No,59,<I don't know>,No,No,No,Yes,No,No,Yes,Yes,No,No,<I Dont know why the Delta is important>,No,Yes,Yes,<I Dont know why the Delta is important>,Yes,No,No,Yes,No,<Decline to answer>,Yes,No,No,Yes,No,No,No,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Please specify individual or organization name:,Dissatisfied,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,No,<Unsure>,<Decline to answer>,Not at all concerned,Moderately concerned,<Decline to answer>,Very concerned,<Decline to answer>,<Decline to answer>,Mostly due to other factors,mostly by natural changes in the environment,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,<Decline to answer>,Yes. Please specify:,Somewhat agree,Somewhat disagree,<Decline to answer>,Doing too much,<Decline to answer>,Doing too much,No,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,No,Yes,Yes,<Decline to answer>,No,Yes,No,Yes,No,Conservative,Yes,<Not applicable>,<Decline to answer>,<Not applicable>,Trust only a little,Strongly distrust,<Not applicable>,<Not applicable>,Somewhat unlikely,NA,NA,Very unlikely,Somewhat unlikely,NA,NA,Yes,NA,No,<Decline to answer>,NA,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,<Not applicable>,<Not applicable>,1.4271570281933998,<Missing>,White,<25K,<Missing>,Not Hispanic/Latino,BA/BS,Owned by you or someone else living there,NA
DRS2395,Online,Spanish,095,3,<Decline to answer>,Yes,No,<Decline to answer>,Yes,<Decline to answer>,32,Suburban,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,<I Dont know why the Delta is important>,No,No,<I Dont know why the Delta is important>,No,Yes,No,No,Yes,No,<Decline to answer>,Yes,No,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,No,No,<Decline to answer>,No,No,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,No,Yes,<Decline to answer>,Very dissatisfied,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,No,No,<Decline to answer>,<Unsure>,<Unsure>,Not at all concerned,Not at all concerned,<Decline to answer>,Very concerned,Somewhat concerned,Yes. Please specify:,<Decline to answer>,<I don't know>,<Decline to answer>,<Decline to answer>,No,Yes,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Somewhat disagree,Somewhat disagree,"Yes, I have personally experienced drought impacts. Please specify:",<Decline to answer>,Not doing enough,Not doing enough,Yes,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,No,No,Yes,No,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,NA,Trust only a little,<Decline to answer>,Trust completely,Trust only a little,Somewhat distrust,Trust only a little,<Not applicable>,Very unlikely,Somewhat likely,Unsure,Unsure,Somewhat likely,Unsure,Somewhat likely,No,No,Yes,NA,Yes,NA,NA,No,Yes,<Decline to answer>,No,No,0.17711860767780008,Female,Black,>150K,25-34,Hispanic/Latino,BA/BS,NA,Other lang
DRS2396,Online,Spanish,095,2,Yes,No,No,<Decline to answer>,No,No,20,Urban,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,No,No,<Decline to answer>,No,Yes,Yes,Yes,<Decline to answer>,No,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,Yes,Please specify individual or organization name:,Satisfied,No,No,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Very concerned,Not at all concerned,Not at all concerned,<Unsure>,Moderately concerned,<Decline to answer>,Very concerned,Yes. Please specify:,Entirely due to climate change,<I don't know>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,Yes,No,Somewhat agree,Strongly disagree,<Decline to answer>,Doing too much,Not doing enough,<Decline to answer>,No,Yes,Yes,<Decline to answer>,No,<Decline to answer>,Yes,No,<Decline to answer>,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Liberal,Yes,Trust only a little,<Decline to answer>,Strongly distrust,NA,Trust completely,Trust completely,Very likely,Very likely,Very unlikely,Unsure,Unsure,NA,<Decline to answer>,Very likely,<Not applicable>,<Not applicable>,No,NA,No,NA,No,NA,No,<Decline to answer>,<Decline to answer>,NA,2.510025188062497,Female,Asian/PI,25K - <50K,<Missing>,<Missing>,>BA/BS,NA,Other lang
DRS2397,Online,Spanish,067,2,No,Yes,No,Yes,No,Yes,47,Rural (outside of town),Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,<I Dont know why the Delta is important>,No,No,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,Moderately concerned,Somewhat concerned,Moderately concerned,<Decline to answer>,<Unsure>,Very concerned,Moderately concerned,No,Mostly due to other factors,<Decline to answer>,No,No,No,Yes,<Decline to answer>,Yes,No,No,No,Yes,Yes. Please specify:,Somewhat agree,Strongly agree,"Yes, I have personally experienced drought impacts. Please specify:",Doing the right amount,Doing too much,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,No,Yes,NA,Yes,Strongly distrust,<Decline to answer>,Strongly distrust,Trust completely,NA,Trust only a little,<Decline to answer>,Somewhat likely,<Decline to answer>,<Decline to answer>,Unsure,Somewhat likely,NA,Somewhat unlikely,<Decline to answer>,<Decline to answer>,No,Yes,NA,No,<Not applicable>,<Not applicable>,NA,<Not applicable>,NA,<Not applicable>,0.45956875806040787,Male,<Missing>,25K - <50K,65+,<Missing>,<Missing>,Owned by you or someone else living there,NA
DRS2398,Mail,English,113,1,Yes,No,No,No,No,Yes,28,Rural (outside of town),No,Yes,Yes,No,No,No,No,Yes,No,No,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,No,Yes,No,Yes,Yes,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,No,No,Yes,<Decline to answer>,Yes,No,<Decline to answer>,Yes,No,Yes,Yes,<Decline to answer>,No one advocates for my interests in the Delta,Very satisfied,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,Moderately concerned,<Decline to answer>,Moderately concerned,Very concerned,<Decline to answer>,<Decline to answer>,Somewhat concerned,No,<Decline to answer>,mostly by human activities,<Decline to answer>,No,No,Yes,<Decline to answer>,No,<Decline to answer>,No,No,<Decline to answer>,No,Somewhat agree,Strongly disagree,<I don't know>,Doing too much,Doing the right amount,Doing too much,Yes,No,Yes,Yes,No,Yes,No,<Decline to answer>,Yes,No,No,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,Liberal,NA,Trust completely,<Decline to answer>,NA,Somewhat distrust,Trust only a little,Somewhat distrust,<Not applicable>,NA,<Decline to answer>,NA,<Not applicable>,Somewhat unlikely,Somewhat unlikely,<Not applicable>,<Not applicable>,No,No,<Not applicable>,Yes,<Decline to answer>,No,NA,No,Yes,Yes,NA,0.14186573372122194,Female,White,100K - <150K,18-24,Not Hispanic/Latino,<BA/BS,Owned by you or someone else living there,English only
DRS2399,Mail,Spanish,113,2,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,34,Rural (outside of town),Yes,No,No,Yes,No,Yes,Yes,No,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,Yes,Yes,Yes,No,No,<Decline to answer>,Yes,Yes,Yes,No,<Decline to answer>,No,Yes,Yes,<Decline to answer>,No,<Decline to answer>,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,Very satisfied,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,Yes,No,<Decline to answer>,Not at all concerned,Not at all concerned,Very concerned,Moderately concerned,Somewhat concerned,<Unsure>,Very concerned,Yes. Please specify:,Not at all due to climate change,mostly by human activities,No,<Decline to answer>,<Decline to answer>,No,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Strongly disagree,<I don't know>,<I don't know>,Doing too much,Doing too much,Not doing enough,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,No,Conservative,NA,<Decline to answer>,<Decline to answer>,Trust only a little,Trust completely,Strongly distrust,Trust only a little,NA,Very unlikely,Somewhat unlikely,Unsure,NA,Unsure,Very unlikely,NA,<Not applicable>,NA,<Not applicable>,NA,<Decline to answer>,<Decline to answer>,NA,<Decline to answer>,Yes,<Not applicable>,NA,<Not applicable>,1.4678637317634298,Female,Other and mixed,<25K,25-34,Hispanic/Latino,<BA/BS,Rented/Other,NA
DRS2400,Mail,English,113,3,<Decline to answer>,No,Yes,No,No,No,47,<Decline to answer>,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,No,No,<Decline to answer>,No,No,<Decline to answer>,No,Yes,Yes,<Decline to answer>,Yes,Yes,No,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,<Decline to answer>,No one advocates for my interests in the Delta,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Moderately concerned,<Decline to answer>,Somewhat concerned,Not at all concerned,Not at all concerned,Moderately concerned,No,Mostly due to climate change,mostly by natural changes in the environment,No,No,No,<Decline to answer>,<Decline to answer>,Yes,No,Yes,No,No,No,<I don't know>,<I don't know>,<Decline to answer>,Doing the right amount,<I don't know>,Not doing enough,Yes,<Decline to answer>,Yes,No,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,NA,No,<Decline to answer>,<Not applicable>,Trust somewhat,Somewhat distrust,Trust only a little,Trust completely,Very likely,Very likely,NA,Somewhat likely,Unsure,Very unlikely,Very unlikely,Very unlikely,<Not applicable>,Yes,Yes,No,NA,<Decline to answer>,NA,NA,<Decline to answer>,Yes,NA,No,0.42430981159080966,Female,Other and mixed,100K - <150K,65+,<Missing>,<BA/BS,<Decline to answer>,NA
DRS2401,Mail,English,013,3,No,No,No,<Decline to answer>,Yes,<Decline to answer>,49,<Decline to answer>,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,<Decline to answer>,No,No,Yes,No,<Decline to answer>,Yes,Yes,No,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,No one advocates for my interests in the Delta,Neutral,Yes,No,Yes,No,No,<Decline to answer>,<Decline to answer>,Yes,Not at all concerned,<Unsure>,<Unsure>,<Decline to answer>,Very concerned,Very concerned,Not at all concerned,No,<I don't know>,<Decline to answer>,No,No,No,No,No,No,No,<Decline to answer>,Yes,No,No,Strongly disagree,Strongly disagree,<I don't know>,Doing too much,<Decline to answer>,Doing too much,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Yes,Yes,No,NA,Yes,<Decline to answer>,Somewhat distrust,Trust only a little,Strongly distrust,Somewhat distrust,Trust completely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,NA,<Not applicable>,<Decline to answer>,Very likely,No,NA,<Decline to answer>,<Not applicable>,Yes,NA,<Not applicable>,<Not applicable>,NA,No,No,No,0.18172839137144378,Male,Black,<25K,55-64,<Missing>,BA/BS,Owned by you or someone else living there,Other lang
DRS2402,Online,Spanish,095,3,No,Yes,<Decline to answer>,No,Yes,No,72,<Decline to answer>,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,<I Dont know why the Delta is important>,No,No,<I Dont know why the Delta is important>,<Decline to answer>,No,Yes,Yes,Yes,Yes,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,No,No,No,Yes,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Satisfied,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,No,Moderately concerned,Somewhat concerned,Not at all concerned,<Decline to answer>,<Decline to answer>,Not at all concerned,Not at all concerned,No,<Decline to answer>,by both human activities and natural changes in the environment,No,Yes,No,No,No,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<I don't know>,Strongly agree,<I don't know>,Doing too much,<Decline to answer>,Doing the right amount,Yes,Yes,No,<Decline to answer>,Yes,No,No,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,Conservative,No,Trust only a little,Trust somewhat,Trust only a little,Strongly distrust,Trust only a little,Trust somewhat,NA,NA,Very likely,NA,<Not applicable>,Somewhat unlikely,<Decline to answer>,Very likely,<Not applicable>,No,Yes,No,No,<Decline to answer>,<Not applicable>,No,<Decline to answer>,NA,Yes,Yes,0.10793810949052868,Female,Black,<25K,65+,Hispanic/Latino,<Missing>,Owned by you or someone else living there,NA
DRS2403,Mail,English,113,3,No,Yes,<Decline to answer>,No,<Decline to answer>,No,24,Historic or Delta “legacy” town,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,<Decline to answer>,No,No,No,Yes,Yes,No,No,<Decline to answer>,No,No,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,No,<Decline to answer>,Yes,Yes,Yes,No,<Decline to answer>,No,No one advocates for my interests in the Delta,Neutral,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,No,Yes,<Unsure>,Very concerned,<Unsure>,Moderately concerned,<Unsure>,Moderately concerned,<Unsure>,Yes. Please specify:,Entirely due to climate change,mostly by human activities,No,No,Yes,<Decline to answer>,No,Yes,No,<Decline to answer>,No,No,<Decline to answer>,Somewhat disagree,<I don't know>,"Yes, I have personally experienced drought impacts. Please specify:",<Decline to answer>,Doing the right amount,Doing the right amount,Yes,<Decline to answer>,No,Yes,No,No,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,No,<Decline to answer>,Yes,No,<Decline to answer>,Liberal,Yes,Trust somewhat,<Not applicable>,NA,Somewhat distrust,Trust completely,Somewhat distrust,Somewhat likely,Unsure,<Decline to answer>,Somewhat unlikely,Very likely,Somewhat likely,Very unlikely,Very unlikely,No,No,<Decline to answer>,Yes,NA,<Decline to answer>,No,<Not applicable>,<Decline to answer>,<Not applicable>,No,NA,0.30297872942000315,Female,<Missing>,<25K,25-34,Hispanic/Latino,<Missing>,Rented/Other,Other lang
DRS2404,Online,Spanish,013,2,Yes,No,<Decline to answer>,Yes,<Decline to answer>,Yes,43,<Decline to answer>,No,No,No,No,Yes,No,No,No,No,Yes,<I Dont know why the Delta is important>,Yes,Yes,No,Yes,<Decline to answer>,No,No,<Decline to answer>,No,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,No,No,No,<Decline to answer>,Yes,Yes,Yes,No,<Decline to answer>,No,<Decline to answer>,<I don't know>,Neutral,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Somewhat concerned,Somewhat concerned,<Decline to answer>,Somewhat concerned,<Decline to answer>,<Unsure>,Moderately concerned,No,<I don't know>,mostly by natural changes in the environment,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,Yes,<Decline to answer>,<Decline to answer>,Strongly disagree,<Decline to answer>,"No, I have not personally experienced drought impacts",Not doing enough,<Decline to answer>,Doing too much,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,Trust only a little,Trust somewhat,Trust completely,<Decline to answer>,Trust somewhat,<Not applicable>,Unsure,<Decline to answer>,Unsure,<Decline to answer>,Very likely,Unsure,Very unlikely,Unsure,<Not applicable>,NA,Yes,<Not applicable>,<Not applicable>,<Decline to answer>,Yes,<Decline to answer>,Yes,No,<Not applicable>,Yes,0.2669094359932394,Female,Other and mixed,>150K,18-24,Not Hispanic/Latino,<Missing>,Owned by you or someone else living there,NA
DRS2405,Online,English,113,1,No,Yes,No,<Decline to answer>,No,No,18,<Decline to answer>,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,<I Dont know why the Delta is important>,Yes,Yes,No,No,No,No,No,No,Yes,<Decline to answer>,Yes,Yes,No,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,Yes,Yes,Yes,<Decline to answer>,No,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,<I don't know>,Very dissatisfied,No,No,Yes,No,Yes,No,No,No,Very concerned,Very concerned,<Unsure>,<Unsure>,Not at all concerned,Moderately concerned,<Unsure>,Yes. Please specify:,Not at all due to climate change,<Decline to answer>,Yes,<Decline to answer>,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Somewhat disagree,<I don't know>,<I don't know>,Not doing enough,Not doing enough,Doing too much,No,No,No,No,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,Yes,<Decline to answer>,<Decline to answer>,Moderate,NA,Trust somewhat,Trust only a little,Trust only a little,Trust completely,Somewhat distrust,Trust only a little,Somewhat unlikely,Unsure,Very unlikely,NA,<Decline to answer>,<Not applicable>,NA,Very likely,<Decline to answer>,NA,No,No,Yes,NA,<Not applicable>,<Decline to answer>,Yes,<Not applicable>,No,NA,0.2610301216809779,<Missing>,White,75K - <100K,55-64,Hispanic/Latino,<BA/BS,NA,English only
